ORF,Gene,Ch,Mean,sd,Mean,sd,3153A,p.paired,3153A,sd,start,end,strand,
orf19.177,,1,116.8 ,0.064 ,95.9 ,0.064 ,0.8 ,0.53457573,1.0 ,0.064 ,1337672,1340068,W,
orf19.6280,,1,0.0 ,0.083 ,0.0 ,0.083 ,1.0 ,NA,1.0 ,0.083 ,1340369,1340722,W,
orf19.6277,,1,17.1 ,0.058 ,26.8 ,0.058 ,1.0 ,0.224434049,1.0 ,0.058 ,1344908,1348267,W,
orf19.6276,,1,991.3 ,0.049 ,1088.7 ,0.049 ,1.1 ,0.188108437,1.1 ,0.049 ,1350853,1353474,W,
orf19.6275,,1,104.5 ,0.066 ,107.3 ,0.066 ,1.0 ,0.587247842,1.0 ,0.066 ,1354052,1355749,W,
orf19.6274,PBR1,1,11.1 ,0.098 ,38.0 ,0.098 ,1.0 ,0.117171725,1.0 ,0.098 ,1357330,1356803,C,
orf19.6273,,1,338.5 ,0.045 ,433.9 ,0.045 ,1.3 ,0.209107786,1.0 ,0.045 ,1359770,1359447,C,
orf19.6272,,1,633.4 ,0.049 ,1057.4 ,0.049 ,1.7 ,0.017998617,1.0 ,0.049 ,1360018,1360794,W,
orf19.6271,,1,574.4 ,0.052 ,759.6 ,0.052 ,1.3 ,0.263849646,1.0 ,0.052 ,1363202,1361070,C,
orf19.6269,,1,48.5 ,0.054 ,33.8 ,0.054 ,1.0 ,0.984426029,1.0 ,0.054 ,1364477,1367062,W,
orf19.6268,,1,274.6 ,0.085 ,189.1 ,0.085 ,0.7 ,0.20201712,1.1 ,0.085 ,1369348,1367174,C,
orf19.6267,,1,3.0 ,0.043 ,48.2 ,0.043 ,1.0 ,0.095754949,1.0 ,0.043 ,1372217,1370850,C,
orf19.6266,,1,248.8 ,0.048 ,176.0 ,0.048 ,0.7 ,0.233685193,1.0 ,0.048 ,1375483,1372868,C,
orf19.6265.1,RPS14B,1,9622.6 ,0.072 ,11520.1 ,0.072 ,1.2 ,0.727435959,1.0 ,0.072 ,1376741,1375913,C,
orf19.6265,RPS22A,1,27639.8 ,0.076 ,34160.2 ,0.076 ,1.2 ,0.121679177,1.0 ,0.076 ,1377498,1377106,C,
orf19.6264.4,,1,682.6 ,0.095 ,589.0 ,0.095 ,0.9 ,0.351526087,1.0 ,0.095 ,1377882,1378268,W,
orf19.6264.3,,1,5017.2 ,0.055 ,5939.6 ,0.055 ,1.2 ,0.457294309,1.0 ,0.055 ,1379293,1378685,C,
orf19.6264,,1,1713.7 ,0.048 ,1543.0 ,0.048 ,0.9 ,0.126402901,1.0 ,0.048 ,1380462,1381178,W,
orf19.6263,,1,721.3 ,0.080 ,990.9 ,0.080 ,1.4 ,0.004087614,1.1 ,0.080 ,1382602,1381205,C,
orf19.6261,BPH1,1,632.3 ,0.058 ,542.2 ,0.058 ,0.9 ,0.515139735,1.0 ,0.058 ,1389718,1382897,C,
orf19.6260,,1,841.4 ,0.052 ,744.7 ,0.052 ,0.9 ,0.359583578,1.0 ,0.052 ,1394401,1390283,C,
orf19.6259,,1,412.8 ,0.086 ,440.2 ,0.086 ,1.1 ,0.555095402,1.0 ,0.086 ,1396220,1395099,C,
orf19.6257,GLT1,1,6679.1 ,0.092 ,4587.6 ,0.092 ,0.7 ,0.001733936,1.0 ,0.092 ,1398250,1404630,W,
orf19.6255,,1,27.4 ,0.059 ,71.6 ,0.059 ,1.0 ,0.124233618,1.0 ,0.059 ,1404890,1406203,W,
orf19.6254,ANT1,1,883.3 ,0.074 ,839.2 ,0.074 ,1.0 ,0.58810289,1.0 ,0.074 ,1407331,1408368,W,
orf19.6253,RPS23A,1,31984.0 ,0.056 ,23111.8 ,0.056 ,0.7 ,0.092145429,1.0 ,0.056 ,1409046,1409483,W,
orf19.6252,,1,770.5 ,0.073 ,864.0 ,0.073 ,1.1 ,0.336508199,1.0 ,0.073 ,1411044,1409842,C,
orf19.6250,,1,3439.2 ,0.157 ,3301.8 ,0.157 ,1.0 ,0.742357751,1.1 ,0.157 ,1411731,1412774,W,
orf19.6249,HAK1,1,5321.3 ,0.068 ,1755.0 ,0.068 ,0.3 ,0.003053481,1.0 ,0.068 ,1415515,1413089,C,
orf19.6248,,1,23.3 ,0.052 ,29.8 ,0.052 ,1.0 ,0.388473014,1.0 ,0.052 ,1417969,1417268,C,
orf19.6247,,1,590.1 ,0.089 ,596.0 ,0.089 ,1.0 ,0.379479916,1.0 ,0.089 ,1418596,1421211,W,
orf19.6246,,1,316.5 ,0.048 ,331.0 ,0.048 ,1.0 ,0.658491234,1.0 ,0.048 ,1421911,1422477,W,
orf19.6245,,1,2318.8 ,0.083 ,2788.6 ,0.083 ,1.2 ,0.292929253,1.0 ,0.083 ,1422978,1424678,W,
orf19.6244,,1,149.9 ,0.068 ,151.1 ,0.068 ,1.0 ,0.324021098,1.0 ,0.068 ,1425396,1427717,W,
orf19.6243,VPS34,1,376.1 ,0.096 ,278.0 ,0.096 ,0.7 ,0.745266508,1.0 ,0.096 ,1427968,1431030,W,
orf19.6242,,1,75.3 ,0.134 ,95.4 ,0.134 ,1.0 ,0.412304278,1.0 ,0.134 ,1432024,1432983,W,
orf19.6240,,1,330.6 ,0.053 ,254.7 ,0.053 ,0.8 ,0.310886083,1.0 ,0.053 ,1433503,1435086,W,
orf19.6239,,1,269.1 ,0.078 ,316.4 ,0.078 ,1.2 ,0.630415711,1.0 ,0.078 ,1435444,1436475,W,
orf19.6238,,1,409.5 ,0.059 ,499.5 ,0.059 ,1.2 ,0.417615553,1.0 ,0.059 ,1437711,1436509,C,
orf19.6237,RAC1,1,2487.4 ,0.067 ,2812.7 ,0.067 ,1.1 ,0.458699608,1.1 ,0.067 ,1440150,1440860,W,
orf19.6236,,1,901.8 ,0.052 ,922.5 ,0.052 ,1.0 ,0.972446479,1.0 ,0.052 ,1442123,1441494,C,
orf19.6235,,1,50.3 ,0.115 ,93.5 ,0.115 ,1.0 ,0.244781702,1.1 ,0.115 ,1442352,1442738,W,
orf19.6234,,1,1258.8 ,0.120 ,1420.9 ,0.120 ,1.1 ,0.469053939,1.0 ,0.120 ,1444495,1442891,C,
orf19.6233,,1,1209.3 ,0.126 ,1389.2 ,0.126 ,1.1 ,0.113707096,1.1 ,0.126 ,1444504,1446027,W,
orf19.6232,NPR1,1,1273.6 ,0.109 ,1121.9 ,0.109 ,0.9 ,0.342547753,1.0 ,0.109 ,1447186,1449687,W,
orf19.6231,MRPL19,1,488.7 ,0.091 ,665.5 ,0.091 ,1.4 ,0.126295387,1.1 ,0.091 ,1450368,1449937,C,
orf19.6230,,1,894.6 ,0.054 ,843.4 ,0.054 ,0.9 ,0.995462883,1.0 ,0.054 ,1450648,1451823,W,
orf19.6229,CAT1,1,9168.2 ,0.152 ,9354.7 ,0.152 ,1.0 ,0.92527071,1.0 ,0.152 ,1453415,1454872,W,
orf19.6227,,1,645.1 ,0.121 ,537.3 ,0.121 ,0.8 ,0.301505347,1.1 ,0.121 ,1455604,1456596,W,
orf19.6225.1,,1,173.2 ,0.080 ,211.7 ,0.080 ,1.2 ,0.433112958,1.0 ,0.080 ,1457571,1457278,C,
orf19.6225,PCL7,1,129.5 ,0.081 ,296.1 ,0.081 ,2.3 ,0.001294689,1.0 ,0.081 ,1459337,1461391,W,
orf19.6224,,1,73.3 ,0.051 ,130.2 ,0.051 ,1.8 ,0.064738834,1.0 ,0.051 ,1462779,1464272,W,
orf19.6222,SPO22,1,0.6 ,0.035 ,8.1 ,0.035 ,1.0 ,0.186895983,1.0 ,0.035 ,1468296,1465246,C,
orf19.6220.4,,1,733.1 ,0.071 ,499.4 ,0.071 ,0.7 ,0.112090314,1.0 ,0.071 ,1469344,1468534,C,
orf19.6220.3,MMD1,1,28767.8 ,0.105 ,27525.4 ,0.105 ,1.0 ,0.965717885,1.0 ,0.105 ,1470343,1469706,C,
orf19.6220,,1,3460.3 ,0.065 ,3512.8 ,0.065 ,1.0 ,0.718159765,1.0 ,0.065 ,1473250,1470554,C,
orf19.6219,,1,497.3 ,0.110 ,611.5 ,0.110 ,1.2 ,0.221366617,1.0 ,0.110 ,1474919,1473564,C,
orf19.6217,PGA63,1,1838.7 ,0.094 ,1212.4 ,0.094 ,0.7 ,0.073704634,1.0 ,0.094 ,1475717,1479514,W,
orf19.6214,ATC1,1,479.4 ,0.120 ,402.6 ,0.120 ,0.8 ,0.60257529,1.0 ,0.120 ,1483049,1479813,C,
orf19.6213,SUI2,1,2937.7 ,0.055 ,4006.9 ,0.055 ,1.4 ,0.012552819,1.0 ,0.055 ,1484830,1485732,W,
orf19.6211,,1,760.5 ,0.110 ,877.4 ,0.110 ,1.2 ,0.204343765,1.0 ,0.110 ,1487542,1485887,C,
orf19.6209,,1,448.8 ,0.132 ,315.0 ,0.132 ,0.7 ,0.189521447,1.0 ,0.132 ,1489211,1487778,C,
orf19.6208,MEF2,1,528.9 ,0.143 ,417.8 ,0.143 ,0.8 ,0.221519782,1.1 ,0.143 ,1490523,1492802,W,
orf19.6205,,1,476.6 ,0.125 ,282.4 ,0.125 ,0.6 ,0.202842533,1.1 ,0.125 ,1493138,1494094,W,
orf19.6203,PUT3,1,387.4 ,0.076 ,375.0 ,0.076 ,1.0 ,0.951390069,1.0 ,0.076 ,1497140,1494204,C,
orf19.6202,RBT4,1,508.9 ,0.051 ,638.3 ,0.051 ,1.3 ,0.226521539,1.0 ,0.051 ,1499055,1497979,C,
orf19.6200,,1,15.3 ,0.124 ,8.6 ,0.124 ,1.0 ,0.764166698,1.1 ,0.124 ,1503195,1502242,C,
orf19.6199,,1,577.3 ,0.049 ,516.2 ,0.049 ,0.9 ,0.217612901,1.0 ,0.049 ,1507029,1504870,C,
orf19.6198.1,,1,1521.1 ,0.055 ,1531.7 ,0.055 ,1.0 ,0.879607731,1.0 ,0.055 ,1508336,1507818,C,
orf19.6197,,1,1015.8 ,0.017 ,659.4 ,0.017 ,0.6 ,0.190077768,1.0 ,0.017 ,1511622,1509973,C,
orf19.6196,,1,776.4 ,0.043 ,686.7 ,0.043 ,0.9 ,0.455928588,1.0 ,0.043 ,1513343,1513909,W,
orf19.6195,,1,711.6 ,0.076 ,554.5 ,0.076 ,0.8 ,0.582752551,1.0 ,0.076 ,1516388,1514154,C,
orf19.6194,,1,19.2 ,0.057 ,24.8 ,0.057 ,1.0 ,0.936504381,1.0 ,0.057 ,1517800,1516859,C,
orf19.6193,TAF145,1,175.5 ,0.050 ,97.3 ,0.050 ,0.6 ,0.198007895,1.0 ,0.050 ,1518264,1522049,W,
orf19.4456,GAP4,1,4464.0 ,0.120 ,6269.4 ,0.120 ,1.4 ,0.000965133,1.0 ,0.120 ,1527013,1528836,W,
orf19.4455,,1,468.2 ,0.092 ,288.1 ,0.092 ,0.6 ,0.939258514,1.1 ,0.092 ,1530826,1529021,C,
orf19.4451,RIA1,1,1766.9 ,0.058 ,1386.4 ,0.058 ,0.8 ,0.289914956,1.0 ,0.058 ,1534645,1531511,C,
orf19.4450.1,,1,133.0 ,0.138 ,122.8 ,0.138 ,0.9 ,0.190039991,1.0 ,0.138 ,1535433,1535227,C,
orf19.4450,ZCF23,1,17158.1 ,0.075 ,28368.0 ,0.075 ,1.7 ,0.189840157,1.0 ,0.075 ,1538464,1536764,C,
orf19.4449,,1,3888.2 ,0.220 ,3807.4 ,0.220 ,1.0 ,0.8181073,1.1 ,0.220 ,1540755,1541501,W,
orf19.4448,SOG2,1,964.0 ,0.141 ,733.1 ,0.141 ,0.8 ,0.694342927,1.1 ,0.141 ,1542293,1544758,W,
orf19.4447,YMC1,1,572.0 ,0.117 ,648.3 ,0.117 ,1.1 ,0.966373567,1.1 ,0.117 ,1545462,1546361,W,
orf19.4446,,1,506.3 ,0.153 ,462.0 ,0.153 ,0.9 ,0.859385738,1.1 ,0.153 ,1548214,1546472,C,
orf19.4445,,1,1648.5 ,0.045 ,1542.2 ,0.045 ,0.9 ,0.414731782,1.0 ,0.045 ,1549838,1551466,W,
orf19.4444,PHO15,1,1980.8 ,0.096 ,2781.6 ,0.096 ,1.4 ,0.015067955,1.0 ,0.096 ,1551791,1552717,W,
orf19.4443,YPD1,1,2250.2 ,0.063 ,2960.3 ,0.063 ,1.3 ,0.123911911,1.0 ,0.063 ,1553589,1554143,W,
orf19.4442,ALG9,1,904.7 ,0.078 ,931.1 ,0.078 ,1.0 ,0.776363632,1.0 ,0.078 ,1555985,1554303,C,
orf19.4441,,1,50.8 ,0.040 ,48.0 ,0.040 ,1.0 ,0.497325917,1.0 ,0.040 ,1557966,1556170,C,
orf19.4440,SEC34,1,435.2 ,0.073 ,340.7 ,0.073 ,0.8 ,0.252519387,1.0 ,0.073 ,1558202,1560721,W,
orf19.4439.1,,1,14.8 ,0.110 ,22.6 ,0.110 ,1.0 ,0.183471969,1.0 ,0.110 ,1560986,1560777,C,
orf19.4439,,1,1107.6 ,0.030 ,1555.1 ,0.030 ,1.4 ,0.125595249,1.0 ,0.030 ,1561038,1561481,W,
orf19.4438,RME1,1,53.8 ,0.039 ,52.3 ,0.039 ,1.0 ,0.591442573,1.0 ,0.039 ,1578967,1580490,W,
orf19.4437,,1,1598.6 ,0.061 ,904.5 ,0.061 ,0.6 ,0.026858794,1.0 ,0.061 ,1581235,1584358,W,
orf19.4436,,1,1111.5 ,0.050 ,1031.2 ,0.050 ,0.9 ,0.602242129,1.0 ,0.050 ,1584935,1584420,C,
orf19.4435,,1,949.6 ,0.074 ,518.6 ,0.074 ,0.5 ,0.028698551,1.0 ,0.074 ,1586011,1589922,W,
orf19.4433,CPH1,1,280.6 ,0.087 ,282.4 ,0.087 ,1.0 ,0.908533688,1.0 ,0.087 ,1592574,1590604,C,
orf19.4432,KSP1,1,1656.2 ,0.058 ,1816.4 ,0.058 ,1.1 ,0.409505559,1.0 ,0.058 ,1598119,1595267,C,
orf19.4430,,1,627.2 ,0.136 ,1120.0 ,0.136 ,1.8 ,0.056774917,1.0 ,0.136 ,1600458,1602098,W,
orf19.4428,,1,111.9 ,0.088 ,113.2 ,0.088 ,1.0 ,0.985722361,1.0 ,0.088 ,1603689,1602250,C,
orf19.4427,SKP1,1,3410.1 ,0.088 ,3847.1 ,0.088 ,1.1 ,0.605019191,1.0 ,0.088 ,1605009,1604515,C,
orf19.4426,PEX3,1,104.8 ,0.047 ,56.5 ,0.047 ,0.5 ,0.383955682,1.0 ,0.047 ,1606830,1605439,C,
orf19.4424,PHO100,1,73.0 ,0.078 ,55.5 ,0.078 ,1.0 ,0.220805675,1.0 ,0.078 ,1609129,1610100,W,
orf19.4423,,1,405.6 ,0.089 ,337.9 ,0.089 ,0.8 ,0.498886736,1.0 ,0.089 ,1611087,1614308,W,
orf19.2799,GPI8,1,382.9 ,0.104 ,309.0 ,0.104 ,0.8 ,0.717274205,1.0 ,0.104 ,1616916,1615765,C,
orf19.2798,,1,57.2 ,0.085 ,47.3 ,0.085 ,1.0 ,0.314878431,1.0 ,0.085 ,1619149,1617182,C,
orf19.2797,,1,623.7 ,0.052 ,640.4 ,0.052 ,1.0 ,0.750726969,1.0 ,0.052 ,1621259,1619388,C,
orf19.2796,,1,605.4 ,0.064 ,434.5 ,0.064 ,0.7 ,0.249631062,1.0 ,0.064 ,1623502,1621508,C,
orf19.2795,,1,569.5 ,0.068 ,732.0 ,0.068 ,1.3 ,0.028506615,0.9 ,0.068 ,1624898,1623924,C,
orf19.2794,,1,336.8 ,0.040 ,346.5 ,0.040 ,1.0 ,0.497002258,0.9 ,0.040 ,1625260,1626093,W,
orf19.2792,IST2,1,592.0 ,0.051 ,591.9 ,0.051 ,1.0 ,0.503651496,1.0 ,0.051 ,1629144,1626286,C,
orf19.2791,,1,1020.4 ,0.167 ,807.9 ,0.167 ,0.8 ,0.394638786,1.1 ,0.167 ,1634762,1631898,C,
orf19.2790,SWD2,1,367.7 ,0.152 ,319.6 ,0.152 ,0.9 ,0.183038037,1.1 ,0.152 ,1635240,1636334,W,
orf19.2789,,1,119.7 ,0.037 ,158.7 ,0.037 ,1.3 ,0.062857612,1.0 ,0.037 ,1636942,1637901,W,
orf19.2788,,1,21.3 ,0.047 ,47.9 ,0.047 ,1.0 ,0.847013971,1.0 ,0.047 ,1639135,1637927,C,
orf19.2787,PRY1,1,114.5 ,0.117 ,83.7 ,0.117 ,0.7 ,0.035510895,1.0 ,0.117 ,1640814,1639582,C,
orf19.2786,,1,578.6 ,0.032 ,543.8 ,0.032 ,0.9 ,0.872816242,1.0 ,0.032 ,1645192,1642067,C,
orf19.2785,ATP7,1,5495.3 ,0.051 ,7044.9 ,0.051 ,1.3 ,0.32097554,0.9 ,0.051 ,1645704,1646228,W,
orf19.2784,,1,1208.9 ,0.045 ,1571.8 ,0.045 ,1.3 ,0.081573934,1.0 ,0.045 ,1647328,1646384,C,
orf19.2783,PIR32,1,1993.2 ,0.058 ,2445.1 ,0.058 ,1.2 ,0.221382226,1.0 ,0.058 ,1648912,1647638,C,
orf19.2782,,1,1229.2 ,0.162 ,1853.1 ,0.162 ,1.5 ,0.002156682,0.9 ,0.162 ,1649731,1650258,W,
orf19.2781,,1,64.0 ,0.046 ,74.5 ,0.046 ,1.0 ,0.435267503,1.0 ,0.046 ,1653745,1651229,C,
orf19.2779,,1,505.4 ,0.157 ,727.9 ,0.157 ,1.4 ,0.065961984,1.1 ,0.157 ,1658949,1659461,W,
orf19.2778,,1,85.5 ,0.044 ,55.0 ,0.044 ,1.0 ,0.10213079,1.0 ,0.044 ,1660272,1662500,W,
orf19.1227,ZCF4,1,0.0 ,0.064 ,0.0 ,0.064 ,1.0 ,NA,1.0 ,0.064 ,1666503,1667093,W,
orf19.1228,HAP2,1,83.1 ,0.075 ,111.5 ,0.075 ,1.3 ,0.204725096,1.0 ,0.075 ,1668206,1669300,W,
orf19.1229,,1,1166.9 ,0.024 ,1106.6 ,0.024 ,0.9 ,0.326049141,1.0 ,0.024 ,1672965,1669828,C,
orf19.1232,VRG4,1,1391.9 ,0.111 ,1021.7 ,0.111 ,0.7 ,0.324271203,1.0 ,0.111 ,1675356,1674241,C,
orf19.1233,ADE4,1,2263.5 ,0.052 ,1810.0 ,0.052 ,0.8 ,0.474752743,1.0 ,0.052 ,1678759,1677134,C,
orf19.4712,FGR6-3,1,3881.5 ,0.309 ,2923.8 ,0.309 ,0.8 ,0.093355824,1.2 ,0.309 ,1691374,1692912,W,
orf19.4713,,1,213.4 ,0.051 ,141.3 ,0.051 ,0.7 ,0.316904232,1.0 ,0.051 ,1696719,1699295,W,
orf19.5049,,1,754.1 ,0.030 ,786.6 ,0.030 ,1.0 ,0.863858025,1.0 ,0.030 ,1700264,1699335,C,
orf19.5050,MTO1,1,18.7 ,0.071 ,41.6 ,0.071 ,1.0 ,0.377159821,1.0 ,0.071 ,1700480,1702567,W,
orf19.5051,,1,102.7 ,0.048 ,51.9 ,0.048 ,0.5 ,0.141437303,1.0 ,0.048 ,1704918,1702648,C,
orf19.5052,,1,727.6 ,0.070 ,652.4 ,0.070 ,0.9 ,0.329441548,1.0 ,0.070 ,1705203,1706363,W,
orf19.5053,,1,53.8 ,0.018 ,62.2 ,0.018 ,1.0 ,0.413732442,1.0 ,0.018 ,1707228,1706446,C,
orf19.5054,,1,122.8 ,0.059 ,136.9 ,0.059 ,1.1 ,0.547152568,1.0 ,0.059 ,1707564,1708466,W,
orf19.5056,,1,128.5 ,0.114 ,114.0 ,0.114 ,0.9 ,0.392238028,1.1 ,0.114 ,1709964,1708525,C,
orf19.5057,,1,80.7 ,0.096 ,81.5 ,0.096 ,1.0 ,0.879199501,1.0 ,0.096 ,1710213,1711466,W,
orf19.5058,SMI1,1,3223.2 ,0.044 ,4250.9 ,0.044 ,1.3 ,0.082863284,1.0 ,0.044 ,1713620,1711758,C,
orf19.5059,GCS1,1,1623.5 ,0.023 ,1293.0 ,0.023 ,0.8 ,0.354020441,1.0 ,0.023 ,1717055,1714737,C,
orf19.5061,"ADE5,7",1,2380.6 ,0.087 ,2029.5 ,0.087 ,0.9 ,0.538834511,1.0 ,0.087 ,1720995,1718587,C,
orf19.5063,,1,4049.8 ,0.039 ,3965.3 ,0.039 ,1.0 ,0.678194232,1.0 ,0.039 ,1722918,1723493,W,
orf19.5064,MRPL3,1,675.6 ,0.049 ,750.3 ,0.049 ,1.1 ,0.36098556,1.0 ,0.049 ,1725072,1723858,C,
orf19.5065,,1,326.3 ,0.047 ,329.9 ,0.047 ,1.0 ,0.31566159,1.0 ,0.047 ,1727666,1726263,C,
orf19.5066,,1,157.8 ,0.055 ,191.7 ,0.055 ,1.2 ,0.155487861,1.0 ,0.055 ,1730502,1729702,C,
orf19.5067,,1,683.0 ,0.042 ,809.6 ,0.042 ,1.2 ,0.115651786,1.0 ,0.042 ,1730783,1731481,W,
orf19.5068,,1,446.7 ,0.047 ,529.9 ,0.047 ,1.2 ,0.184857626,1.0 ,0.047 ,1735358,1731684,C,
orf19.5069,,1,754.5 ,0.122 ,919.7 ,0.122 ,1.2 ,0.073265343,1.0 ,0.122 ,1737864,1737133,C,
orf19.5070,,1,725.1 ,0.122 ,528.3 ,0.122 ,0.7 ,0.027772077,1.1 ,0.122 ,1743149,1741854,C,
orf19.5071,NRP1,1,309.9 ,0.051 ,276.3 ,0.051 ,0.9 ,0.642450544,1.0 ,0.051 ,1747314,1749605,W,
orf19.5073,DPM1,1,3124.4 ,0.084 ,3401.2 ,0.084 ,1.1 ,0.760234824,1.0 ,0.084 ,1750300,1751019,W,
orf19.5074,,1,709.4 ,0.097 ,618.8 ,0.097 ,0.9 ,0.309656397,1.0 ,0.097 ,1751322,1753196,W,
orf19.5076,PFY1,1,4516.1 ,0.038 ,4391.1 ,0.038 ,1.0 ,0.757286289,1.0 ,0.038 ,1753657,1754037,W,
orf19.5077,,1,1875.5 ,0.065 ,2413.0 ,0.065 ,1.3 ,0.328600183,1.0 ,0.065 ,1755501,1756001,W,
orf19.5078,,1,434.0 ,0.097 ,763.7 ,0.097 ,1.8 ,0.20889143,1.0 ,0.097 ,1756580,1756987,W,
orf19.5079,CDR4,1,6926.5 ,0.124 ,6731.7 ,0.124 ,1.0 ,0.598653908,1.1 ,0.124 ,1758073,1762545,W,
orf19.5081,FUN12,1,4501.9 ,0.108 ,4252.2 ,0.108 ,0.9 ,0.333562975,1.1 ,0.108 ,1766850,1763797,C,
orf19.5083,DRG1,1,2638.0 ,0.045 ,2787.5 ,0.045 ,1.1 ,0.732068527,1.0 ,0.045 ,1767426,1768532,W,
orf19.5085,,1,793.1 ,0.102 ,968.4 ,0.102 ,1.2 ,0.200365139,1.1 ,0.102 ,1769083,1772358,W,
orf19.5087,BUD6,1,272.4 ,0.138 ,262.6 ,0.138 ,1.0 ,0.540443583,1.1 ,0.138 ,1772735,1774846,W,
orf19.5089,TERT,1,145.0 ,0.065 ,97.1 ,0.065 ,0.7 ,0.17275109,1.1 ,0.065 ,1777459,1774856,C,
orf19.5090,,1,247.5 ,0.148 ,302.1 ,0.148 ,1.2 ,0.081280282,1.1 ,0.148 ,1777650,1778630,W,
orf19.5092,,1,54.8 ,0.076 ,57.2 ,0.076 ,1.0 ,0.821954572,1.0 ,0.076 ,1779265,1778627,C,
orf19.5093,,1,710.6 ,0.061 ,711.1 ,0.061 ,1.0 ,0.885293291,1.0 ,0.061 ,1779375,1780433,W,
orf19.5094,BUL1,1,192.0 ,0.037 ,249.1 ,0.037 ,1.3 ,0.500165231,1.0 ,0.037 ,1782963,1780738,C,
orf19.5095,,1,1034.0 ,0.069 ,835.0 ,0.069 ,0.8 ,0.18598782,1.0 ,0.069 ,1789380,1785424,C,
orf19.5097,CAT8,1,339.5 ,0.058 ,315.9 ,0.058 ,0.9 ,0.348878384,1.0 ,0.058 ,1793606,1790436,C,
orf19.5098,NTG1,1,404.1 ,0.042 ,464.6 ,0.042 ,1.1 ,0.91738964,1.0 ,0.042 ,1794223,1795185,W,
orf19.5100,MLT1,1,511.4 ,0.073 ,749.5 ,0.073 ,1.5 ,0.111640667,1.0 ,0.073 ,1800113,1795293,C,
orf19.5101,CCR4,1,1605.7 ,0.063 ,1589.0 ,0.063 ,1.0 ,0.905460783,1.0 ,0.063 ,1801719,1804082,W,
orf19.5102,PLB5,1,2587.1 ,0.142 ,2019.5 ,0.142 ,0.8 ,0.275935429,1.1 ,0.142 ,1806443,1804179,C,
orf19.5103,,1,391.7 ,0.085 ,428.2 ,0.085 ,1.1 ,0.623294467,1.1 ,0.085 ,1807929,1806937,C,
orf19.5104,LTP1,1,854.3 ,0.117 ,1432.5 ,0.117 ,1.7 ,0.000158204,1.0 ,0.117 ,1809691,1809023,C,
orf19.5105,,1,602.2 ,0.104 ,641.7 ,0.104 ,1.1 ,0.644758116,1.1 ,0.104 ,1813627,1810187,C,
orf19.5106,DIP2,1,944.5 ,0.100 ,715.6 ,0.100 ,0.8 ,0.264925039,1.0 ,0.100 ,1819339,1816394,C,
orf19.5107,NOT5,1,852.5 ,0.074 ,835.0 ,0.074 ,1.0 ,0.896822689,1.0 ,0.074 ,1820259,1822247,W,
orf19.5110,OPY2,1,625.0 ,0.139 ,538.8 ,0.139 ,0.9 ,0.149185923,1.1 ,0.139 ,1823851,1825434,W,
orf19.5112,TKL1,1,12752.7 ,0.145 ,17642.6 ,0.145 ,1.4 ,0.084275257,1.1 ,0.145 ,1826680,1828713,W,
orf19.5113,ADH2,1,7294.9 ,0.123 ,9580.5 ,0.123 ,1.3 ,0.206863138,1.0 ,0.123 ,1830334,1829288,C,
orf19.5114,,1,486.3 ,0.086 ,808.3 ,0.086 ,1.7 ,0.015275276,1.1 ,0.086 ,1832442,1831969,C,
orf19.5117,OLE1,1,23111.4 ,0.118 ,34457.9 ,0.118 ,1.5 ,0.03678784,1.1 ,0.118 ,1835814,1834354,C,
orf19.5118,SDS24,1,855.8 ,0.108 ,835.9 ,0.108 ,1.0 ,0.96044669,1.0 ,0.108 ,1839339,1841225,W,
orf19.384,,1,786.5 ,0.105 ,727.2 ,0.105 ,0.9 ,0.583201385,1.1 ,0.105 ,1845892,1844216,C,
orf19.385,GCV2,1,1768.0 ,0.108 ,861.6 ,0.108 ,0.5 ,0.24275073,1.0 ,0.108 ,1849496,1846497,C,
orf19.386,SAM4,1,1010.4 ,0.093 ,1838.0 ,0.093 ,1.8 ,0.001146735,1.0 ,0.093 ,1851405,1850470,C,
orf19.387,GCR3,1,1052.4 ,0.063 ,731.4 ,0.063 ,0.7 ,0.002163418,1.0 ,0.063 ,1851872,1854532,W,
orf19.388,CAF16,1,892.2 ,0.055 ,1091.7 ,0.055 ,1.2 ,0.401669414,1.0 ,0.055 ,1854922,1855884,W,
orf19.389,,1,296.2 ,0.017 ,364.9 ,0.017 ,1.2 ,0.258350032,1.0 ,0.017 ,1856338,1855967,C,
orf19.390,CDC42,1,3526.0 ,0.202 ,4126.5 ,0.202 ,1.2 ,0.423359812,1.0 ,0.202 ,1857461,1856886,C,
orf19.391,UPC2,1,354.0 ,0.134 ,313.6 ,0.134 ,0.9 ,0.906826321,1.1 ,0.134 ,1860375,1858237,C,
orf19.392,,1,399.1 ,0.086 ,498.7 ,0.086 ,1.2 ,0.823331996,1.0 ,0.086 ,1861319,1861753,W,
orf19.393,,1,426.0 ,0.094 ,610.5 ,0.094 ,1.4 ,0.007921033,1.1 ,0.094 ,1862414,1861819,C,
orf19.394,,1,524.7 ,0.090 ,584.8 ,0.090 ,1.1 ,0.354643399,1.0 ,0.090 ,1862609,1863994,W,
orf19.395,ENO1,1,64473.9 ,0.072 ,42257.9 ,0.072 ,0.7 ,0.030389355,1.0 ,0.072 ,1865548,1864226,C,
orf19.396,EAF6,1,567.5 ,0.068 ,807.6 ,0.068 ,1.4 ,0.206471755,1.0 ,0.068 ,1866510,1867145,W,
