ORF,Gene,Ch,Mean,sd,Mean,sd,3153A,p.paired,3153A,sd,start,end,strand,
orf19.4188,NMD5,4,952.6 ,0.025 ,1088.8 ,0.025 ,1.1 ,0.937138497,1.0 ,0.025 ,96782,93729,C,
orf19.4187,,4,197.3 ,0.052 ,212.7 ,0.052 ,1.1 ,0.560590969,1.0 ,0.052 ,98893,97574,C,
orf19.4186,PCT1,4,859.4 ,0.034 ,967.1 ,0.034 ,1.1 ,0.281454274,1.0 ,0.034 ,100504,99131,C,
orf19.4185,,4,671.4 ,0.021 ,861.7 ,0.021 ,1.3 ,0.197585596,1.1 ,0.021 ,100986,101441,W,
orf19.4184,,4,1118.0 ,0.055 ,947.2 ,0.055 ,0.8 ,0.625012273,1.1 ,0.055 ,103606,101597,C,
orf19.4183,MUC1,4,1655.0 ,0.116 ,1896.2 ,0.116 ,1.1 ,0.152322482,1.1 ,0.116 ,107085,104422,C,
orf19.4182,,4,710.7 ,0.074 ,891.6 ,0.074 ,1.3 ,0.428194606,1.1 ,0.074 ,107346,108402,W,
orf19.4181,SPC2,4,646.1 ,0.054 ,730.1 ,0.054 ,1.1 ,0.29520111,1.0 ,0.054 ,108930,108421,C,
orf19.4180,,4,1455.7 ,0.037 ,1516.5 ,0.037 ,1.0 ,0.53953677,1.0 ,0.037 ,110013,109399,C,
orf19.4179,,4,80.6 ,0.029 ,77.5 ,0.029 ,1.0 ,0.446376381,1.0 ,0.029 ,110388,110918,W,
orf19.4177,HIS5,4,1755.9 ,0.093 ,2087.8 ,0.093 ,1.2 ,0.50228561,1.1 ,0.093 ,111285,112454,W,
orf19.4176,,4,796.8 ,0.079 ,793.0 ,0.079 ,1.0 ,0.842941968,1.1 ,0.079 ,112699,113439,W,
orf19.4175,TOK1,4,977.2 ,0.074 ,838.7 ,0.074 ,0.9 ,0.677716889,1.0 ,0.074 ,113653,115878,W,
orf19.4174,,4,959.0 ,0.146 ,944.5 ,0.146 ,1.0 ,0.973918667,1.1 ,0.146 ,116226,117587,W,
orf19.4173,,4,319.1 ,0.102 ,368.3 ,0.102 ,1.2 ,0.559243634,1.1 ,0.102 ,119173,117584,C,
orf19.4172,,4,1201.1 ,0.034 ,1535.0 ,0.034 ,1.3 ,0.105436331,1.0 ,0.034 ,120395,119430,C,
orf19.4171,,4,159.7 ,0.075 ,127.2 ,0.075 ,0.8 ,0.900568167,1.0 ,0.075 ,121074,123011,W,
orf19.4170,,4,21.0 ,0.074 ,53.7 ,0.074 ,1.0 ,0.03359477,1.1 ,0.074 ,124050,124874,W,
orf19.4169,,4,7.4 ,0.032 ,20.0 ,0.032 ,1.0 ,0.505187917,1.0 ,0.032 ,125653,125258,C,
orf19.4168,,4,407.3 ,0.079 ,448.5 ,0.079 ,1.1 ,0.12854994,1.0 ,0.079 ,126015,126518,W,
orf19.4167,,4,223.1 ,0.071 ,290.8 ,0.071 ,1.3 ,0.796776493,1.1 ,0.071 ,127113,126574,C,
orf19.4166,ZCF21,4,717.4 ,0.101 ,644.7 ,0.101 ,0.9 ,0.214541264,1.1 ,0.101 ,131943,133832,W,
orf19.4164,,4,708.2 ,0.057 ,940.7 ,0.057 ,1.3 ,0.132367199,1.0 ,0.057 ,135159,134425,C,
orf19.4163,,4,342.7 ,0.036 ,191.1 ,0.036 ,0.6 ,0.408859343,1.0 ,0.036 ,138778,135560,C,
orf19.4162,MLH1,4,160.2 ,0.062 ,109.0 ,0.062 ,0.7 ,0.134675592,1.0 ,0.062 ,142783,140630,C,
orf19.4161,,4,733.1 ,0.058 ,695.3 ,0.058 ,0.9 ,0.649773946,1.0 ,0.058 ,142987,144102,W,
orf19.4160,,4,659.9 ,0.035 ,633.8 ,0.035 ,1.0 ,0.547836993,1.0 ,0.035 ,145508,144156,C,
orf19.4159,,4,285.4 ,0.048 ,338.7 ,0.048 ,1.2 ,0.186505373,1.1 ,0.048 ,146332,147432,W,
orf19.4157,SPS20,4,5153.2 ,0.063 ,4362.5 ,0.063 ,0.8 ,0.251749148,1.0 ,0.063 ,148176,149048,W,
orf19.4711,,4,1069.3 ,0.112 ,1164.3 ,0.112 ,1.1 ,0.955588392,1.1 ,0.112 ,150357,152171,W,
orf19.4707,,4,199.1 ,0.089 ,185.8 ,0.089 ,0.9 ,0.352738875,1.0 ,0.089 ,154610,152472,C,
orf19.4706,,4,3342.6 ,0.054 ,4684.4 ,0.054 ,1.4 ,0.013818098,1.0 ,0.054 ,156363,155866,C,
orf19.4705,,4,703.3 ,0.055 ,613.8 ,0.055 ,0.9 ,0.517189478,1.0 ,0.055 ,157322,158917,W,
orf19.4704,ARO1,4,1595.0 ,0.043 ,1823.6 ,0.043 ,1.1 ,0.334000043,1.0 ,0.043 ,159251,163906,W,
orf19.4703,,4,482.3 ,0.045 ,339.6 ,0.045 ,0.7 ,0.031550999,1.0 ,0.045 ,166832,165126,C,
