"","ORF","Gene","Ch","Mean","sd","Mean.1","sd.1","X3153A","p.paired","X3153A.1","sd.2","start","end","strand","X"
"53","orf19.4188","NMD5","4",952.6,796.659386912116,1088.8,1049.75353437101,1.1,0.937138497,1,0.025,96782,93729,"C",NA
"54","orf19.4187","","4",197.3,133.490257127545,212.7,163.483556548739,1.1,0.560590969,1,0.052,98893,97574,"C",NA
"55","orf19.4186","PCT1","4",859.4,388.704154853628,967.1,329.341369939781,1.1,0.281454274,1,0.034,100504,99131,"C",NA
"56","orf19.4185","","4",671.4,475.707015673263,861.7,481.989859923691,1.3,0.197585596,1.1,0.021,100986,101441,"W",NA
"57","orf19.4184","","4",1118,920.93286722215,947.2,755.849622890623,0.8,0.625012273,1.1,0.055,103606,101597,"C",NA
"58","orf19.4183","MUC1","4",1655,298.661950951197,1896.2,162.796798157539,1.1,0.152322482,1.1,0.116,107085,104422,"C",NA
"59","orf19.4182","","4",710.7,494.380280149205,891.6,699.849963798171,1.3,0.428194606,1.1,0.074,107346,108402,"W",NA
"60","orf19.4181","SPC2","4",646.1,415.190954969184,730.1,441.621410374104,1.1,0.29520111,1,0.054,108930,108421,"C",NA
"61","orf19.4180","","4",1455.7,909.141942645998,1516.5,800.458080552588,1,0.53953677,1,0.037,110013,109399,"C",NA
"62","orf19.4179","","4",80.6,53.7904034603034,77.5,71.6818853009441,NA,0.446376381,1,0.029,110388,110918,"W",NA
"63","orf19.4177","HIS5","4",1755.9,652.922472534177,2087.8,1133.09075989261,1.2,0.50228561,1.1,0.093,111285,112454,"W",NA
"64","orf19.4176","","4",796.8,439.628647409479,793,441.960965347994,1,0.842941968,1.1,0.079,112699,113439,"W",NA
"65","orf19.4175","TOK1","4",977.2,671.298118740782,838.7,473.426578968278,0.9,0.677716889,1,0.074,113653,115878,"W",NA
"66","orf19.4174","","4",959,793.946792756431,944.5,641.153649620175,1,0.973918667,1.1,0.146,116226,117587,"W",NA
"67","orf19.4173","","4",319.1,169.149102233995,368.3,226.131439958658,1.2,0.559243634,1.1,0.102,119173,117584,"C",NA
"68","orf19.4172","","4",1201.1,845.497641889115,1535,1077.37021184701,1.3,0.105436331,1,0.034,120395,119430,"C",NA
"69","orf19.4171","","4",159.7,100.470392405798,127.2,56.8415565811822,0.8,0.900568167,1,0.075,121074,123011,"W",NA
"70","orf19.4170","","4",21,26.8855687563058,53.7,41.8516032624562,NA,0.03359477,1.1,0.074,124050,124874,"W",NA
"71","orf19.4169","","4",7.4,12.3215877167437,20,23.6820132127295,NA,0.505187917,1,0.032,125653,125258,"C",NA
"72","orf19.4168","","4",407.3,444.885357770349,448.5,437.025784018290,1.1,0.12854994,1,0.079,126015,126518,"W",NA
"73","orf19.4167","","4",223.1,103.048322430908,290.8,245.744925462295,1.3,0.796776493,1.1,0.071,127113,126574,"C",NA
"74","orf19.4166","ZCF21","4",717.4,283.590686432465,644.7,314.291412425924,0.9,0.214541264,1.1,0.101,131943,133832,"W",NA
"75","orf19.4164","","4",708.2,247.390195771339,940.7,452.223819264844,1.3,0.132367199,1,0.057,135159,134425,"C",NA
"76","orf19.4163","","4",342.7,260.159415485254,191.1,154.224014493365,0.6,0.408859343,1,0.036,138778,135560,"C",NA
"77","orf19.4162","MLH1","4",160.2,197.298083348925,109,179.434917369428,0.7,0.134675592,1,0.062,142783,140630,"C",NA
